Power Supplies: ADP3334
 Output Voltage:
  Vout = 1.178 ( R1/R2 + 1 )

R1; R2(connect to gnd);    Vout         R parallel(close as possible to 50kΩ)
33.2	432		1.2685		30.831
43.2	562		1.2686		40.116
15.4	200		1.2687		14.299
32.4	412		1.2706		30.038
60.4	768		1.2706		55.996
54.9	698		1.2707		50.897
78.7	1000		1.2707		72.958
23.7	301		1.2708		21.97
11.8	147		1.2726		10.923
16.9	210		1.2728		15.641
33.2	412		1.2729		30.724
61.9	768		1.2729		57.283
15.4	191		1.273		14.251
22.1	274		1.273		20.451
30.1	365		1.2751		27.807
52.3	634		1.2752		48.314
75.0	909		1.2752		69.284
24.9	301		1.2754		22.998
11.8	140		1.2773		10.883
20	237		1.2774		18.444
16.9	200		1.2775		15.583
64.9	768		1.2775		59.843
84.5	1000		1.2775		77.916
15.4	182		1.2777		14.199
30.9	365		1.2777		28.488
23.7	274		1.2799		21.813
60.4	698		1.2799		55.59
54.9	634		1.28		50.525
75.0	866		1.28		69.022
78.7	909		1.28		72.429
16.9	191		1.2822		15.526
61.9	698		1.2825		56.858
88.7	1000		1.2825		81.473
32.4	365		1.2826		29.758
30.1	332		1.2848		27.598
24.9	274		1.2851		22.826
33.2	365		1.2851		30.432
43.2	475		1.2851		39.599
78.7	866		1.2851		72.144
90.9	1000		1.2851		83.326
15.4	169		1.2853		14.114
16.9	182		1.2874		15.464
11.8	127		1.2875		10.797
64.9	698		1.2875		59.379
84.5	909		1.2875		77.313
30.9	332		1.2876		28.269
52.3	562		1.2876		47.847
93.1	1000		1.2877		85.171
22.1	237		1.2878		20.215
15.4	162		1.29		14.063
20	210		1.2902		18.261
60.4	634		1.2902		55.146
43.2	453		1.2903		39.439
95.3	1000		1.2903		87.008
11.8	121		1.2929		10.752
84.5	866		1.2929		76.988
88.7	909		1.2929		80.814
32.4	332		1.293		29.519
61.9	634		1.293		56.394
75.0	768		1.293		68.327
54.9	562		1.2931		50.014
16.9	169		1.2958		15.364
20	200		1.2958		18.182
23.7	237		1.2958		21.545
30.1	301		1.2958		27.364
33.2	332		1.2958		30.182
43.2	432		1.2958		39.273
90.9	909		1.2958		82.636
100	1000		1.2958		90.909
64.9	634		1.2986		58.873
78.7	768		1.2987		71.385
88.7	866		1.2987		80.459
93.1	909		1.2987		84.451
30.9	301		1.2989		28.023
16.9	162		1.3009		15.304
15.4	147		1.3014		13.94
20	191		1.3014		18.104
43.2	412		1.3015		39.1
95.3	909		1.3015		86.257
90.9	866		1.3016		82.265
24.9	237		1.3018		22.533
22.1	210		1.302		19.996
107	1000		1.304		96.658
60.4	562		1.3046		54.539
75.0	698		1.3046		67.723
93.1	866		1.3046		84.063
32.4	301		1.3048		29.251
30.1	274		1.3074		27.121
20	182		1.3075		18.02
15.4	140		1.3076		13.874
84.5	768		1.3076		76.124
95.3	866		1.3076		85.852
100	909		1.3076		90.089
52.3	475		1.3077		47.113
61.9	562		1.3077		55.759
11.8	107		1.3079		10.628
33.2	301		1.3079		29.902
22.1	200		1.3082		19.901
30.9	274		1.3108		27.768
78.7	698		1.3108		70.726
23.7	210		1.3109		21.297
16.9	147		1.3134		15.157
52.3	453		1.314		46.887
64.9	562		1.314		58.181
100	866		1.314		89.648
88.7	768		1.3141		79.516
54.9	475		1.3142		49.212
22.1	191		1.3143		19.808
107	909		1.3167		95.731
11.8	100		1.317		10.555
32.4	274		1.3173		28.974
20	169		1.3174		17.884
43.2	365		1.3174		38.628
75.0	634		1.3174		67.066
90.9	768		1.3174		81.28
23.7	200		1.3176		21.189
24.9	210		1.3177		22.261
16.9	140		1.3202		15.08
52.3	432		1.3206		46.652
84.5	698		1.3206		75.375
33.2	274		1.3207		29.612
15.4	127		1.3208		13.735
54.9	453		1.3208		48.966
93.1	768		1.3208		83.034
22.1	182		1.321		19.707
20	162		1.3234		17.802
107	866		1.3235		95.233
11.8	95.3		1.3239		10.5
23.7	191		1.3242		21.084
78.7	634		1.3242		70.01
95.3	768		1.3242		84.78
24.9	200		1.3247		22.143
11.8	93.1		1.3273		10.473
52.3	412		1.3275		46.409
30.1	237		1.3276		26.708
54.9	432		1.3277		48.71
88.7	698		1.3277		78.699
60.4	475		1.3278		53.586
15.4	121		1.3279		13.661
11.8	90.9		1.3309		10.444
43.2	332		1.3313		38.226
23.7	182		1.3314		20.969
90.9	698		1.3314		80.426
100	768		1.3314		88.479
61.9	475		1.3315		54.763
24.9	191		1.3316		22.028
30.9	237		1.3316		27.336
22.1	169		1.332		19.544
11.8	88.7		1.3347		10.415
16.9	127		1.3348		14.915
54.9	412		1.335		48.445
84.5	634		1.335		74.562
60.4	453		1.3351		53.294
93.1	698		1.3351		82.144
75.0	562		1.3352		66.17
20	147		1.3383		17.605
22.1	162		1.3387		19.447
95.3	698		1.3388		83.852
32.4	237		1.339		28.503
61.9	453		1.339		54.459
64.9	475		1.339		57.099
24.9	182		1.3392		21.903
107	768		1.3421		93.915
11.8	84.5		1.3425		10.354
16.9	121		1.3425		14.829
60.4	432		1.3427		52.991
88.7	634		1.3428		77.813
33.2	237		1.343		29.121
78.7	562		1.343		69.033
23.7	169		1.3432		20.785
20	140		1.3463		17.5
30.1	210		1.3468		26.327
52.3	365		1.3468		45.745
61.9	432		1.3468		54.142
64.9	453		1.3468		56.767
100	698		1.3468		87.469
90.9	634		1.3469		79.501
43.2	301		1.3471		37.778
15.4	107		1.3475		13.462
23.7	162		1.3503		20.675
60.4	412		1.3507		52.677
93.1	634		1.351		81.179
30.9	210		1.3513		26.936
24.9	169		1.3516		21.702
11.8	78.7		1.3546		10.261
61.9	412		1.355		53.815
64.9	432		1.355		56.423
22.1	147		1.3551		19.212
84.5	562		1.3551		73.456
95.3	634		1.3551		82.847
54.9	365		1.3552		47.722
30.1	200		1.3553		26.163
107	698		1.3586		92.778
24.9	162		1.3591		21.583
15.4	100		1.3594		13.345
32.4	210		1.3597		28.069
30.9	200		1.36		26.765
